title,content,title_mecab,content_mecab,title_okt,content_okt,title_hannanum,content_hannanum,title_komoran,content_komoran
"타인에게 신용카드를 빌려주었는데, 그가 카드대금을 갚지 않아 연체되었습니다. 채권추심이 들어오는데 제가 갚아야합니까?","현행 여신전문금융업법 제 15조에서는 신용카드를 양도·양수하거나 질권설정을 할 수 없다고 되어 있습니다. 또한 신용카드 개인회원 표준약관에 따르면 카드의 도난.분실에 대해 카드사가 책임을 지도록하고 있으나 카드를 양도한 경우에는 회원이 모든 책임을 지도록 되어 있습니다.따라서 향후 카드이용자에게 부당이익반환청구를 하실 수는 있을 것으로 보이나, 카드이용대금은 카드를 빌려준 회원 본인이 책임을 지고 변제하여야 합니다.",타인 신용 카드 그 카드 대금 연체 채권 추심 제,현행 여신 전문 금융업 법 조 신용 카드 양도 양수 질권 설정 수 신용 카드 개인 회원 표준 약관 카드 도난 분실 카드 사 책임 카드 양도 경우 회원 책임 향후 카드 이용자 부당 이익 반환 청구 수 것 카드 이용 대금 카드 회원 본인 책임 변제,타인 신용카드 그 카드 대금 연체 채권 추심 제 야합,현행 여신전문금융업법 제 신용카드 양도 수하 거나 질권 설정 수 또한 신용카드 개인 회원 표준 약관 카드 도난 분실 대해 카드 사가 책임 도록 카드 양도 경우 회원 모든 책임 도록 따라서 향후 카드 이용자 부당 이익 반환 청구 수 것 보이 카드 이용대 금은 카드 준 회원 본인 책임 지고 변제,타인 신용카드 그 카드대금 연체 채권추 저,현행 여신전문금융업법 저 15조 신용카드 양도·양수하거 질권설정 수 신용카드 개인회원 표준약관 카드 도난 분실 카드사 책 지도록 카드 양도한 경우 회원 책 카드이용자 부당이익반환청구 수 것 카드이용대금 카드 회원 본인 책 지 변제하,타인 신용카드 카드 대금 연체 채권 추심 제가,현행 여신전문금융업법 신용카드 양도 양수 질권 설정 수 신용카드 개인 회원 표준 약관 카드 도난 분실 카드사 책임 카드 양도 경우 회원 책임 향후 카드 이용자 부당 이익 반환 청구 수 것 카드 이용 대금 카드 회원 본인 책임 변제
타인이 제 명의를 도용하여 신용카드를 발급받았습니다. 카드이용대금청구가 들어오는데 제가 갚아야합니까?,"신용카드 개인회원 표준약관에 따르면, 카드의 위.변조로 인하여 발생된 부정사용에 대한 책임은 카드사에 있습니다. 다만, 회원이 고의 또는 중대한 과실로 비밀번호를 누설한 경우이거나 신용카드 등을 양도하거나 담보로 대출을 받은 경우의 사유로 인하여 발생한 부정사용에 대하여는 회원이 그 책임의 전부 또는 일부를 부담하여야 합니다.",타인 명의 도용 신용 카드 발급 카드 이용 대금 청구 제,신용카드 개인 회원 표준 약관 카드 위 변조 발생 부정 사용 책임 카드 사 회원 고의 과실 비밀 번호 누설 경우 신용 카드 등 양도 담보 대출 경우 사유 발생 부정 사용 회원 책임 전부 일부 부담,타인 제 명의 도용 신용카드 발급 카드 이용 대금 청구 제 야합,신용카드 개인 회원 표준 약관 카드 위 변조 발생 부정 사용 대한 책임 카드 사 다만 회원 고의 과실 비밀번호 누설 경우 거나 신용카드 등 양도 거나 담보 대출 경우 사유 발생 부정 사용 대하 여 회원 그 책임 전부 일부 부담,타인 저 명의 도용 신용카드 발급 카드이용대금청구 저,신용카드 개인회원 표준약관 카드 위.변조 발생 부정사용 책 카드사 회원 고의 중대한 과실 비밀번호 누설 경우 신용카드 등 양도 담보 대출 경우 사유 발생 부정사용 회원 책임 전부 일부 부담,타인 명의 도용 신용카드 발급 카드 이용 대금 청구 제가,신용카드 개인 회원 표준 약관 카드 위 변조 발생 부정 사용 책임 카드사 회원 고의 과실 비밀 번호 누설 경우 신용카드 등 양도 담보 대출 경우 사유 발생 부정 사용 회원 책임 일부 부담
신용카드 발급 신청을 했더니 신용정보제공활용동의서에 서명해야만 카드가 발급된다고 합니다. 꼭 서명해야 합니까?,"현행 신용정보제공활용동의서는 신용정보업자 및 신용정보집중기관(은행연합회 등)에 대한 정보제공 동의와 각종 제휴회사(놀이공원, 영화관 등) 등 제3자에 대한 정보제공 동의로 나누어져 있습니다.여신전문금융업 감독규정에 의하면 신청자가 신용정보업자 및 신용정보집중기관(은행연합회 등)에 대한 정보제공에 동의하지 않는 경우 신용카드사가 신용카드를 발급하지 않을 수 있으나, 각종 제휴회사 등 제3자에 대한 신용정보 제공에 동의하지 않는다는 이유로 신용카드 발급을 거절할 수는 없습니다.다만, 통상 신용카드에는 놀이공원 할인, 주유소 할인 등 각종 부가서비스가 제공되므로, 이러한 혜택이 있는 카드를 발급받기 위해서는 제휴업체에 대한 정보제공에도 동의하셔야 합니다. 따라서 제휴업체에 정보를 제공하고 싶지 않으시다면 신용카드사에 부가서비스가 없는 카드를 발급받고 싶다고 요청하시기 바랍니다.한편, 금융감독원은 ‘개인신용정보관리보호 모범규준’을 통하여 가입 후 3개월이 경과한 경우 제휴기관 제공 및 마케팅 목적의 ‘고객 신용정보의 제공 및 활용 중단’ 신청을 받도록 금융회사에 권하고 있으므로, 카드 발급 3개월 이후 마케팅 목적의 신용정보제공활용에 대해서는 카드사에 그 중단을 신청하실 수 있습니다.",신용카드 발급 신청 신용 정보 제공 활용 동의서 서명 카드 발급 서명,현행 신용 정보 제공 활용 동의서 신용 정보 업자 신용 정보 집중 기관 은행 연합회 등 정보 제공 동의 각종 제휴 회사 놀이 공원 영화관 등 등 자 정보 제공 동의 여신 전문 금융업 감독 규정 신청자 신용 정보 업자 신용 정보 집중 기관 은행 연합회 등 정보 제공 동의 경우 신용 카드 사 신용 카드 발급 수 각종 제휴 회사 등 자 신용 정보 제공 동의 이유 신용카드 발급 거절 수 통상 신용 카드 놀이 공원 할인 주유소 할인 등 각종 부가 서비스 제공 혜택 카드 발급 제휴 업체 정보 제공 동의 제휴 업체 정보 제공 신용 카드 사 부가 서비스 카드 발급 요청 한편 금융 감독원 개인 신용 정보 관리 보호 모범 규준 가입 후 개월 경과 경우 제휴 기관 제공 마케팅 목적 고객 신용 정보 제공 활용 중단 신청 금융 회사 카드 발급 개월 이후 마케팅 목적 신용 정보 제공 활용 카드 사 중단 신청 수,신용카드 발급 신청 신용정보 활용 동의 서명 카드 발급 꼭 서명 합,현행 신용정보 활용 동의 신용정보 업자 및 신용정보 집중 기관 은행 연합 회 등 대한 정보 제공 동의 각종 제휴 회사 놀이 공원 영화관 등 등 제 자 대한 정보 제공 동의 금융업 감독 규정 신청 신용정보 업자 및 신용정보 집중 기관 은행 연합 회 등 대한 정보 제공 동의 경우 신용카드 사가 신용카드 발급 수 각종 제휴 회사 등 제 자 대한 신용정보 제공 동의 이유 신용카드 발급 거절 수 다만 통상 신용카드 놀이 공원 할인 주유소 할인 등 각종 부가 서비스 제공 혜택 카드 발급 위 제휴 업체 대한 정보 제공 동의 따라서 제휴 업체 정보 제공 신용카드 사 부가 서비스 카드 발급 요청 한편 금융감독원 개인 신용정보 관리 보호 모범 규준 통 가입 후 개월 경과 경우 제휴 기관 제공 및 마케팅 목적 고객 신용정보 제공 및 활용 중단 신청 금융 회사 카드 발급 개월 이후 마케팅 목적 신용정보 활용 대해 카드 사 그 중단 신청 수,신용카드 발급 신청 신용정보제공활용동의서 서명 카드 발급 서명,"현행 신용정보제공활용동의 신용정보업자 신용정보집중기관(은행연합회 등 정보제공 동의 각종 제휴회사(놀이공원, 영화관 등 등 제3자 정보제공 동의 여신전문금융업 감독규정 신청자 신용정보업자 신용정보집중기관(은행연합회 등 정보제공 동의 경우 신용카드사 신용카드 발급 수 각종 제휴회사 등 제3자 신용정보 제공 동의 이유 신용카드 발급 거절 수 신용카드 놀이공원 할 주유소 할 등 각종 부가서비스 제공 혜택 카드 발급 제휴업체 정보제공 동의 제휴업체 정보 제공 신용카드사 부가서비스 카드 발급 요청하시 한편 금융감독원 ‘개인신용정보관리보호 모범규준’ 가입 후 3개월 경과한 경우 제휴기관 제공 마케팅 목적 ‘고객 신용정보 제공 활용 중단’ 신청 금융회사 카드 발급 3개월 이후 마케팅 목적 신용정보제공활용 카드사 중단 신청 수",신용카드 발급 신청 신용정보 제공 활용 동의서 서명 카드 발급 서명,현행 신용정보 제공 활용 동의서 신용정보 업자 신용정보 집중 기관 은행 연합회 등 정보 제공 동의 각종 제휴 회사 놀이공원 영화관 등 등 자 정보 제공 동의 여신 전문 금융업 감독 규정 신청자 신용정보 업자 신용정보 집중 기관 은행 연합회 등 정보 제공 동의 경우 신용카드 사가 신용카드 발급 수 각종 제휴 회사 등 자 신용정보 제공 동의 이유 신용카드 발급 거절 수 다만 신용카드 놀이공원 할인 주유소 할인 등 각종 부가 서비스 제공 혜택 카드 발급 제휴 업체 정보 제공 동의 제휴 업체 정보 제공 신용카드 사 부가 서비스 카드 발급 요청 한편 금융감독원 개인 신용정보 관리 보호 모범 규준 가입 후 개월 경과 경우 제휴 기관 제공 마케팅 목적 고객 신용정보 제공 활용 중단 신청 금융 회사 카드 발급 개월 이후 마케팅 목적 신용정보 제공 활용 카드사 중단 신청 수
배우자의 무분별한 신용카드 이용으로 계속 채무를 대신 변제하고 있습니다. 배우자의 신용카드 신규발급을 막을 수 없습니까?,"현행 여신전문금융업법 등의 관련법규에서는 카드발급 신청에 대하여 신용카드업자는 신청자의 연령, 소득, 재산, 결제능력 등을 종합적으로 고려하여 자체적인 신용카드 발급심사기준에 따라 신용카드를 발급하도록 하고 있습니다. 따라서 각 카드사의 카드발급기준이 관련법규에 위배되지 않는 한, 금융감독원이 카드사의 기준에 대하여 관여하기 어렵다는 점을 양해하여 주시기 바랍니다.",배우자 분별 신용 카드 이용 채무 대신 변제 배우자 신용 카드 신규 발급 수,현행 여신 전문 금융업 법 등 관련 법규 카드 발급 신청 신용 카드 업자 신청자 연령 소득 재산 결제 능력 등 종합 고려 자체 신용 카드 발급 심사 기준 신용 카드 발급 카드 사 카드 발급 기준 관련 법규 위배 한 금융 감독원 카드 사 기준 관여 점 양해,배우자 무분별 신용카드 이용 계속 채무 대신 변제 배우자 신용카드 신규 발급 막 수,현행 여신전문금융업법 등 관련 법규 카드 발급 신청 대하 신용카드 업자 신청 자의 연령 소득 재산 결제 능력 등 종합 고려 자체 신용카드 발급 심사 기준 신용카드 발급 따라서 각 카드 사의 카드 발급 기준 관련 법규 위배 금융감독원 카드 사의 기준 대하 관여 점 양해 시기,배우자 무분별한 신용카드 이용 채무 대 변제 배우자 신용카드 신규발급 막 수,현행 여신전문금융업법 등 관련법규 카드발급 신청 신용카드업자 신청자 연령 소득 재산 결제능력 등 종합적 자체적 신용카드 발급심사기준 신용카드 발급 카드사 카드발급기준 관련법규 위배 한 금융감독원 카드사 기준 관여 점 양해,배우자 분별 신용카드 이용 채무 대신 변제 배우자 신용카드 신규 발급 수,현행 여신전문금융업법 등 관련 법규 카드 발급 신청 신용카드 업자 신청자 연령 소득 재산 결제 능력 등 종합 고려 자체 신용카드 발급 심사 기준 신용카드 발급 카드사 카드 발급 기준 관련 법규 위배 한 금융감독원 카드사 기준 관여 점 양해
"신용카드 배달해주시는 분이 신용카드사 직원이 아니라는데, 제 개인정보가 노출될 수 있지 않습니까?","금융기관은 금융기관의 업무위탁 등에 관한 규정에 의해 금융기관의 본질적 의무가 아닌 카드배송업무와 같은 후선업무를 외부기관에 위탁할 수 있도록 되어있으며, 이에 따라 카드사 또한 본질적 업무를 제외한 후선업무 등을 업무위임계약을 통해 상당수 외부에 위임하고 있습니다. 배송업무를 배송업체에 위탁한 것도 이의 일환입니다.다만, 카드사는 업무위탁계약서상에 배송업체의 개인정보유출에 따른 책임조항 등을 명기하여 배송업체 직원에 의한 불법적인 개인신용정보 유출을 방지하고 있습니다.",신용카드 배달 분 신용 카드 사 직원 개인 정보 노출 수,금융 기관 금융 기관 업무 위탁 등 규정 금융 기관 본질 의무 카드 배송 업무 후선 업무 외부 기관 위탁 수 이 카드 사 본질 업무 제외 후선 업무 등 업무 위임 계약 상당수 외부 위임 배송 업무 배송 업체 위탁 것 이 일환 카드 업무 위탁 계약서 배송 업체 개인 정보 유출 책임 조항 등 명기 배송 업체 직원 불법 개인 신용 정보 유출 방지,신용카드 배달 분 신용카드 사 직원 제 개인정보 노출 수,금융기관 금융기관 업무 위탁 등 관 규정 금융기관 본질 의무 카드 배송 업무 후선업무 외부 기관 위탁 수 이 카드 사 또한 본질 업무 제외 후선업무 등 업무 위임 계약 통해 상당수 외부 위임 배송 업무 배송 업체 위탁 것 이의 일환 다만 카드 업무 위탁 계약서 배송 업체 개인정보 유출 책임 조항 등 명기 배송 업체 직원 불법 개인 신용정보 유출 방지,신용카드 배달 분 신용카드사 직원 저 개인정보 노출 수,금융기관 금융기관 업무위탁 등 규정 금융기관 본질적 의무 카드배송업무 후선업무 외부기관 위탁 수 이 카드사 본질적 업무 제외 후선업무 등 업무위임계약 상당수 외부 위 배송업무 배송업체 위탁 것 이 일환 카드사 업무위탁계약서상 배송업체 개인정보유출 책임조항 등 명기 배송업체 직원 불법적 개인신용정보 유출 방지,신용카드 배달 해주시 분이 신용카드 사 직원 개인정보 노출 수,금융 기관 금융 기관 업무위탁 등 규정 금융 기관 본질 의무 카드 배 송 업무 후선업무 외부 기관 위탁 수 카드사 본질 업무 제외 후선업무 등 업무 위임 계약 상당수 외부 위임 배 송 업무 배 송 업체 위탁 것 일환 다만 카드사 업무위탁 계약서 배 송 업체 개인정보 유출 책임 조항 등 명기 배 송 업체 직원 불법 개인 신용정보 유출 방지
저의 동의 없이 아들에게 가족카드가 발급되었습니다.,"신용카드 개인회원약관에서는, 가족회원이 사용한 카드이용대금에 대해서는 본인회원이 기존 카드회원인 본인이 가족카드로 인한 카드대금의 변제책임을 지도록 되어 있으므로, 기존 카드회원 본인 및 가족카드를 발급받고자 하는 가족의 동의와 신청이 필수적입니다.따라서 본인의 동의 없이 가족카드가 발급된 사실이 확인되는 경우 본인회원의 변제책임은 없으며, 해당카드사는 업무처리를 소홀히 한 것에 대해서 제재를 받을 수 있습니다.",저 동의 아들 가족 카드 발급,신용카드 개인 회원 약관 가족 회원 사용 카드 이용 대금 본인 회원 기존 카드 회원 본인 가족 카드 카드 대금 변제 책임 기존 카드 회원 본인 가족 카드 발급 가족 동의 신청 필수 본인 동의 가족 카드 발급 사실 확인 경우 본인 회원 변제 책임 해당 카드 업무 처리 것 제재 수,저 동의 아들 가족 카드 발급,신용카드 개인 회원 약관 가족 회원 사용 카드 이용 대금 대해 본인 회원 기존 카드 회원 본인 가족 카드 카드 대금 변제 책임 도록 기존 카드 회원 본인 및 가족 카드 발급 가족 동의 신청 필수 따라서 본인 동의 가족 카드 발급 사실 확인 경우 본인 회원 변제 책임 해당 카드 업무 처리 것 대해 제재 수,저 동 아들 가족카드 발급,신용카드 개인회원약관 가족회원 사용 카드이용대금 본인회원 기존 카드회원 본인 가족카드 카드대금 변제책 기존 카드회원 본인 가족카드 발급 가족 동의 신청 필수적 본인 동 가족카드 발급 사실 확인 경우 본인회원 변제책 해당카드사 업무처리 것 제재 수,동의 아들 가족 카드 발급,신용카드 개인 회원 약관 가족 회원 사용 카드 이용 대금 본인 회원 기존 카드 회원 본인 가족 카드 카드 대금 변제 책임 기존 카드 회원 본인 가족 카드 발급 가족 동의 신청 필수 본인 동의 가족 카드 발급 사실 확인 경우 본인 회원 변제 책임 해당 카드사 업무 처리 것 제재 수
소득이 없는데 신용카드를 발급해 준 카드사도 책임이 있는 것 아닌가요?,"소득이 없더라도 신용카드 이용대금에 대한 책임은 신용카드를 이용한 회원 본인에게 있습니다.다만, 현행 여신전문금융업법 등 관련 법규에서는 신용카드사가 카드를 발급함에 있어 카드회원의 소득, 재산, 채무 등 결제능력과 신용도, 이용실적 등을 종합적으로 반영하여 자율적으로 정하도록 규정하고 있으므로, 소득 외의 다른 방법으로 결제능력이 확인된 경우에 한하여 카드를 발급할 수 있으므로, 카드사가 결제능력 확인 및 카드이용한도 결정 관련 제반 규정을 위반한 경우 그에 대한 제재조치를 받을 수도 있습니다.",소득 신용 카드 발급 카드 사도 책임 것,소득 신용 카드 이용 대금 책임 신용 카드 이용 회원 본인 현행 여신 전문 금융업 법 등 관련 법규 신용 카드 사 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용 이용 실적 등 종합 반영 자율 규정 소득 외 방법 결제 능력 확인 경우 카드 발급 수 카드 사 결제 능력 확인 카드 이용한 결정 관련 제반 규정 위반 경우 그 제재 조치 수,소득 신용카드 발급 준 카드 사도 책임 것,소득 신용카드 이용 대금 대한 책임 신용카드 이용 회원 본인 다만 현행 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 함 카드 회원 소득 재산 채무 등 결제 능력 신용 이용실 등 종합 반영 자율 정 규정 소득 외 다른 방법 결제 능력 확인 경우 카드 발급 수 카드 사가 결제 능력 확인 및 카드 이용 한도 결정 관련 제반 규정 위반 경우 그 대한 제재 조치 수도,소득 신용카드 발급 카드사 책 것,소득 신용카드 이용대금 책 신용카드 이용 회원 본인 현행 여신전문금융업법 등 관련 법규 신용카드사 카드 발급 카드회원 소득 재산 채무 등 결제능력 신용도 이용실적 등 종합적 반영 자율적 규정하 소득 외 방법 결제능력 확인 경우 카드 발급 수 카드사 결제능력 확인 카드이용한도 결정 관련 규정 위반 경우 그 제재조치 수,소득 신용카드 발급 카드사 책임 것,소득 신용카드 이용 대금 책임 신용카드 이용한 회원 본인 다만 현행 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용도 이용 실적 등 종합 반영 자율 규정 소득 외 방법 결제 능력 확인 경우 카드 발급 수 카드사 결제 능력 확인 카드 이용한 결정 관련 제반 규정 위반 경우 제재 조치 수
소득이 없어도 신용카드를 발급받을 수 있습니까?,"현재 여신전문금융업법 등 관련 법규에서는 신용카드사가 카드를 발급함에 있어 카드회원의 소득, 재산, 채무 등 결제능력과 신용도, 이용실적 등을 종합적으로 반영하여 자율적으로 정하도록 규정하고 있습니다.따라서 소득이 아닌 다른 방법으로 카드사가 결제능력을 확인할 수 있다면 카드를 발급해드릴 수도 있으나, 이는 카드사가 자율적으로 판단할 사항입니다.한편, 소득이 없더라도 발급받은 카드를 이용하여 발생한 카드대금에 대한 변제책임은 카드 회원 본인에게 있습니다.",소득 신용 카드 발급 수,여신 전문 금융업 법 등 관련 법규 신용 카드 사 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용 이용 실적 등 종합 반영 자율 규정 소득 방법 카드 사 결제 능력 확인 수 카드 발급 수 이 카드 사 자율 판단 사항 한편 소득 발급 카드 이용 발생 카드 대금 변제 책임 카드 회원 본인,소득 신용카드 발급 수,현재 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 함 카드 회원 소득 재산 채무 등 결제 능력 신용 이용실 등 종합 반영 자율 정 규정 따라서 소득 다른 방법 카드 사가 결제 능력 확인 수 카드 발급 수도 카드 사가 자율 판단 사항 한편 소득 발급 카드 이용 발생 카드 대금 대한 변제 책임 카드 회원 본인,소득 신용카드 발급 수,여신전문금융업법 등 관련 법규 신용카드사 카드 발급 카드회원 소득 재산 채무 등 결제능력 신용도 이용실적 등 종합적 반영 자율적 규정하 소득 방법 카드사 결제능력 확인 수 카드 발급 수 이 카드사 자율적 판단 사항 한편 소득 발급 카드 이용 발생 카드대금 변제책 카드 회원 본인,소득 신용카드 발급 수,여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용도 이용 실적 등 종합 반영 자율 규정 소득 방법 카드사 결제 능력 확인 수 카드 발급 수 카드사 자율 판단 사항 한편 소득 발급 카드 이용 발생 카드 대금 변제 책임 카드 회원 본인
과거 연체기록이 있다는 이유로 신용한도가 부여된 체크카드의 발급을 거절당했습니다. 신용등급을 올릴 수 있도록 신용한도가 부여된 체크카드를 사용하고 싶습니다. 발급받을 수 있게 도와주십시오.,"현재 여신전문금융업법 등 관련 법규에서는 신용카드사가 카드를 발급함에 있어 카드회원의 소득, 재산, 채무 등 결제능력과 신용도, 이용실적 등을 종합적으로 반영하여 자율적으로 정하도록 규정하고 있습니다. 따라서 신용기능이 있는 체크카드를 발급할지 여부는 카드사가 위의 신용심사요건을 감안하여 자율적으로 판단할 사항입니다.한편, 신용한도가 부여되지 않는 체크카드는 예금잔액 범위 내에서 사용되므로 연체기록과 관계없이 발급이 가능한 경우도 있사오니 카드사에 문의하여 보시기 바랍니다.참고로, 신용평점 관리를 위해서는 신용카드를 이용하는 방법 외에도 주거래은행에 양호한 거래실적을 쌓고, 연체가 발생하지 않도록 철저히 관리할 필요가 있습니다.",과거 연체 기록 이유 신용 한도 부여 체크카드 발급 거절 신용 등급 수 신용 한도 부여 체크카드 사용 발급 수,여신 전문 금융업 법 등 관련 법규 신용 카드 사 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용 이용 실적 등 종합 반영 자율 규정 신용 기능 체크카드 발급 여부 카드 사 위 신용 심사 요건 감안 자율 판단 사항 한편 신용 한도 부여 체크카드 예금 잔액 범위 내 사용 연체 기록 발급 가능 경우 카드 사 문의 참고 신용 평점 관리 신용 카드 이용 방법 외 주 거래 은행 거래 실적 연체 발생 관리 필요,과거 연체 기록 이유 신용 한도 부여 체크카드 발급 거절 신용등급 수 신용 한도 부여 체크카드 사용 발급 수,현재 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 함 카드 회원 소득 재산 채무 등 결제 능력 신용 이용실 등 종합 반영 자율 정 규정 따라서 신용 기능 체크카드 발급 여부 카드 사가 위 신용 심사 요건 감안 자율 판단 사항 한편 신용 한도 부여 체크카드 예금 잔액 범위 내 사용 연체 기록 발급 경우 카드 사 문의 참고 신용 평점 관리 위 신용카드 이용 방법 외 거래 은행 양호 거래 실적 연체 발생 관리 필요,과거 연체기록 이유 신용한도 부 체크카드 발급 거절 신용등급 수 신용한도 부 체크카드 사용 발급 수,여신전문금융업법 등 관련 법규 신용카드사 카드 발급 카드회원 소득 재산 채무 등 결제능력 신용도 이용실적 등 종합적 반영 자율적 규정하 신용기능 체크카드 발급 여부 카드사 위 신용심사요건 감안 자율적 판단 사항 한편 신용한도 부 체크카드 예금잔액 범위 내 사용 연체기록 발급 가능 경우 있사오니 카드사 문의 참고 신용평점 관리 신용카드 이용 방법 외 주거래은행 양호한 거래실적 연체 발생 관리 필요,과거 연체 기록 이유 신용 한도 부여 체크카드 발급 거절 신용등급 수 신용 한도 부여 체크카드 사용 발급 수,여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용도 이용 실적 등 종합 반영 자율 규정 신용 기능 체크카드 발급 여부 카드사 위 신용 심사 요건 감안 자율 판단 사항 한편 신용 한도 부여 체크카드 예금 잔액 범위 사용 연체 기록 발급 경우 카드사 문의 참고 신용 평점 관리 신용카드 이용 방법 외 에도 주 거래 은행 양호 거래 실적 연체 발생 관리 필요
과거 연체기록이 있다는 이유로 신용카드 발급을 거절당했습니다. 신용카드를 발급받을 수 있게 도와주십시오.,"현재 여신전문금융업법 등 관련 법규에서는 신용카드사가 카드 발급 신청자의 소득, 재산, 채무 등 결제능력과 신용도, 이용실적 등을 종합적으로 반영하여 자율적으로 카드발급여부를 정하도록 규정하고 있습니다.한편, 예금잔액 범위 내에서 사용하는 체크카드의 경우 연체기록과 관계없이 발급이 가능한 경우도 있사오니 카드사에 문의하여 보시기 바랍니다.",과거 연체 기록 이유 신용카드 발급 거절 신용 카드 발급 수,여신 전문 금융업 법 등 관련 법규 신용 카드 사 카드 발급 신청자 소득 재산 채무 등 결제 능력 신용 이용 실적 등 종합 반영 자율 카드 발급 여부 규정 한편 예금 잔액 범위 내 사용 체크카드 경우 연체 기록 발급 가능 경우 카드 사 문의,과거 연체 기록 이유 신용카드 발급 거절 신용카드 발급 수,현재 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 신청 자의 소득 재산 채무 등 결제 능력 신용 이용실 등 종합 반영 자율 카드 발급 여부 정 규정 한편 예금 잔액 범위 내 사용 체크카드 경우 연체 기록 발급 경우 카드 사 문의,과거 연체기록 이유 신용카드 발급 거절 신용카드 발급 수,여신전문금융업법 등 관련 법규 신용카드사 카드 발급 신청자 소득 재산 채무 등 결제능력 신용도 이용실적 등 종합적 반영 자율적 카드발급여부 규정하 한편 예금잔액 범위 내 사용 체크카드 경우 연체기록 발급 가능 경우 있사오니 카드사 문의,과거 연체 기록 이유 신용카드 발급 거절 신용카드 발급 수,여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 신청자 소득 재산 채무 등 결제 능력 신용도 이용 실적 등 종합 반영 자율 카드 발급 여부 규정 한편 예금 잔액 범위 사용 체크카드 경우 연체 기록 발급 경우 카드사 문의
몇 살부터 카드를 발급받을 수 있나요?,"현행 여신전문금융업법 제14조 제3항 및 시행령 제6조의7에서는 민법 제4조에 따른 성년 연령 이상인 자(만 19세 이상인 자)에 한하여 카드를 발급할 수 있다고 정하고 있으며, 다만, 여신전문금융업법 등 관련 법규에서는 신용카드사가 카드를 발급함에 있어 카드회원의 소득, 재산, 채무 등 결제능력과 신용도, 이용실적 등을 종합적으로 반영하여 자율적으로 정하도록 규정하고 있으므로, 만 19세 이상이더라도 신용카드의 발급 여부를카드사가 자율적으로 판단하여 결정하게 됩니다.",살 카드 발급 수,현행 여신 전문 금융업 법 조 항 시행령 조의 민법 조 성년 연령 이상 자 세 이상 자 카드 발급 수 여신 전문 금융업 법 등 관련 법규 신용 카드 사 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용 이용 실적 등 종합 반영 자율 규정 만 세 이상 신용 카드 발급 여부 카드 사 자율 판단 결정,몇 살 카드 발급 수,현행 여신전문금융업법 제 제 항 및 시행 령 제 민법 제 성년 연령 이상인 자 만 세 이상인 자 카드 발급 수 정 다만 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 함 카드 회원 소득 재산 채무 등 결제 능력 신용 이용실 등 종합 반영 자율 정 규정 만 세 이상 더라도 신용카드 발급 여부 카드 사가 자율 판단 결정,몇 살 카드 발급 수,현행 여신전문금융업법 제14조 제3항 시행령 제6조의7에서 민법 제4조 성년 연령 이상 자(만 19세 이상 자 카드 발급 수 여신전문금융업법 등 관련 법규 신용카드사 카드 발급 카드회원 소득 재산 채무 등 결제능력 신용도 이용실적 등 종합적 반영 자율적 규정하 19세 이상 신용카드 발급 여부를카드사 자율적 판단 결정,살 카드 발급 수,현행 여신전문금융업법 항 시행령 조의 민법 조에 성년 연령 이상인 자 세 이상인 자 카드 발급 수 여신전문금융업법 등 관련 법규 신용카드 사가 카드 발급 카드 회원 소득 재산 채무 등 결제 능력 신용도 이용 실적 등 종합 반영 자율 규정 세 이상 신용카드 발급 여부 카드사 자율 판단 결정
